albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,cpu_time,wall_time,cpu_time_kernel,wall_time_kernel
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,5.388068299012957,31.443812608718872,2.2522114570019767,30.063602447509766
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,6.260828961996594,28.740952253341675,1.8824968849949073,27.057690858840942
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,6.032991160987876,31.113370656967163,2.035215977986809,29.654265642166138
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,7.029883897979744,32.12968897819519,2.1892042309918907,30.758368492126465
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,6.325237530982122,29.324682474136353,2.0065356669947505,27.849476099014282
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,30,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,5.717776520032203,28.00425124168396,1.853877542016562,26.706632137298584
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,5.8572647189721465,30.780027151107788,1.9017552779987454,29.41195559501648
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,5.912404044036521,30.148168325424194,2.0051474690262694,28.8866069316864
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,6.468420315999538,29.69135308265686,1.9270965390023775,28.105451107025146
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,5.8031712060037535,29.748093128204346,1.9501635780034121,28.317420959472656
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,4.924745689990232,29.432059288024902,1.8371564949920867,28.14864993095398
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,5.928323820029618,30.029689073562622,2.2388986330188345,28.669440507888794
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,50,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,5.417575772997225,32.30111336708069,2.0105512680020183,31.04162311553955
