albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,500,100,5,,hard,0.7609202716558674,1.0903164562945556e-189,,,0.8681313016525305,7.023409473998724e-306,0.2585161166155271,0.463302205939039
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,750,30,5,,hard,0.7346383456065446,2.4907493793381276e-170,,,0.8501833295804302,2.6137519837446216e-280,,0.463302205939039
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,750,30,5,,hard,0.742848372468215,4.0179655196086256e-176,,,0.850206865534063,2.4319868569820225e-280,0.2527052462023917,0.4556391196473685
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,750,50,5,,hard,0.7401728767450272,3.2789768465919945e-174,,,0.8542286973935597,9.044034975706053e-286,,0.4556391196473685
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,750,50,5,,hard,0.7491364069538717,1.036964034723658e-180,,,0.8538467719320689,3.012770816190365e-285,0.2528013797111344,0.4556373290146003
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,cellrank_pseudotime_kernel,750,100,5,,hard,0.7488712415040172,1.6293262518215707e-180,,,0.869870222042656,1.4810200534943413e-308,,0.4556373290146003
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,30,30,100,cellrank_pseudotime_kernel,750,100,5,,hard,0.7614031833103531,4.55538011961169e-190,,,0.8687867513548959,6.956514993173837e-307,0.25861738597676176,0.4632856606600998
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,250,30,5,,hard,0.38835532406965173,2.4073540860761117e-37,,,0.5849553463210652,7.449515230594248e-93,,0.4632856606600998
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,250,30,5,,hard,0.4513662180706187,2.3701408489847702e-51,,,0.6932642461499136,3.8902700802378093e-144,0.411557678439908,0.5428569782301855
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,250,50,5,,hard,0.3720136949534818,3.5321978104389294e-34,,,0.5735677870061315,1.526844179743592e-88,,0.5428569782301855
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,250,50,5,,hard,0.4028433549010283,2.633558759361222e-40,,,0.8037326200944497,2.8710357427769644e-227,0.6968070168984082,0.7568073874638926
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,250,100,5,,hard,0.37076064741357856,6.073834497413487e-34,,,0.6011887623116443,2.6438794281352085e-99,,0.7568073874638926
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,250,100,5,,hard,0.4688670087751135,8.518834840488052e-56,,,0.8491532393876531,6.054086960086768e-279,0.6578786663444212,0.7225922657070052
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,500,30,5,,hard,0.38863899230895604,2.1133469988433333e-37,,,0.5844359655087514,1.18169717388345e-92,,0.7225922657070052
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,500,30,5,,hard,0.4500317159016166,5.0487911629260943e-51,,,0.6942151680383778,1.091877954538526e-144,0.4175580440072667,0.545918345191368
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,500,50,5,,hard,0.3712118767294127,4.998125454896266e-34,,,0.5723894674116297,4.171949705033612e-88,,0.545918345191368
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,500,50,5,,hard,0.3990704888521908,1.6064016601021525e-39,,,0.8016726351280189,2.9801024994253534e-225,0.7020568244022298,0.7618006019938545
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,500,100,5,,hard,0.37160673710080333,4.213243014841925e-34,,,0.6008678789494216,3.5754849705797776e-99,,0.7618006019938545
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,500,100,5,,hard,0.4662110365645156,4.184123909620428e-55,,,0.8480424169232226,1.7474345603566952e-277,0.6619764561500279,0.7262494884515278
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,cellrank_pseudotime_kernel,750,30,5,,hard,0.3893552187209957,1.520176015308314e-37,,,0.5808103719348204,2.892310671841767e-91,,0.7262494884515278
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,30,cellrank_pseudotime_kernel,750,30,5,,hard,0.44957041324570274,6.551977793916984e-51,,,0.6942987941341462,9.762113136739234e-145,0.4183379956938189,0.5467004450821924
