albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,rna,False,50,30,50,palantir,500,30,,,,0.3494573386223415,4.264221418969526e-30,0.3255059055059055,4.117807974186987e-26,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,50,30,50,palantir,500,30,,,,0.3493102023029808,4.522711642962804e-30,0.32547964947964947,4.1576080805731886e-26,-0.30269678668715416,1.233938167392994e-22,0.37482237123105594,0.7095851026970772
phyla5,1000,GRN_100,0.1,0.1,rna,False,50,30,50,palantir,500,50,,,,0.3544648741873107,5.647372799015374e-31,0.3352343032343032,1.0923641453990796e-27,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,50,30,50,palantir,500,50,,,,0.3543378779255893,5.947154993856019e-31,0.3352441912441913,1.0882688346732457e-27,-0.48134361104092843,3.986733412228349e-59,0.31792047789784905,0.6027224531857694
phyla5,1000,GRN_100,0.1,0.1,rna,False,50,30,50,palantir,500,100,,,,0.3568609938174318,2.1188684608080882e-31,0.33930702330702334,2.2984512627676115e-28,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,50,30,50,palantir,500,100,,,,0.35675265605359174,2.215299287812947e-31,0.3393478953478954,2.26250977687993e-28,-0.5880806912341328,4.557056785038437e-94,0.19853376529318784,0.3973166030424823
phyla5,1000,GRN_100,0.1,0.1,rna,False,50,30,50,palantir,750,30,,,,0.349333853288377,4.480137946773665e-30,0.3261619701619702,3.2370521303498784e-26,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,50,30,50,palantir,750,30,,,,0.34924940286992967,4.634004422915955e-30,0.32614122214122215,3.2618121876105365e-26,-0.03378810221927017,0.28577227681530676,0.39976100939518333,0.7650172432216945
phyla5,1000,GRN_100,0.1,0.1,rna,False,50,30,50,palantir,750,50,,,,0.35448400908076005,5.6035214055015835e-31,0.33575572775572776,8.959130102103367e-28,,,,
phyla5,1000,GRN_100,0.1,0.1,rna,True,50,30,50,palantir,750,50,,,,0.3544090642106706,5.77722465257916e-31,0.3357560877560878,8.957902685638398e-28,-0.31539960772595993,1.5577199884657871e-24,0.36568941378030667,0.6886606498222154
