albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,750,50,,,,0.5992030560686423,1.702543882253227e-98,,3.042312922286297e-111,,,0.14223237839249087,0.29889089691123877,0.628968904968905,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,750,50,,,,0.5992015483292567,1.7049448033957196e-98,,3.042312922286297e-111,-0.7375760733133476,2.2324271632912392e-172,0.07347303316928246,0.21930726026752295,0.628968904968905,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,750,100,,,,0.627410045112586,1.532452978540904e-110,,8.326131115727069e-103,,,0.07347303316928246,0.21930726026752295,0.6096277896277896,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,30,palantir,750,100,,,,0.6274084978369688,1.5349072434885198e-110,,8.325259014452861e-103,-0.6415485513188166,4.6426908843967365e-117,0.04052713091784602,0.16296369434828567,0.6096278976278977,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,250,30,,,,0.5888144023548659,2.354470231883383e-94,,1.0562341150631416e-108,,,0.04052713091784602,0.16296369434828567,0.6232862992862993,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,250,30,,,,0.5890539858748358,1.8970823413029542e-94,,8.816835163543847e-109,-0.7617536459081978,2.414835538888269e-190,0.1921989618254232,0.35033396438585895,0.6234635394635395,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,250,50,,,,0.5982818639928182,4.0217489536114506e-98,,1.3240152411789752e-106,,,0.1921989618254232,0.35033396438585895,0.6185031065031065,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,250,50,,,,0.5985232087907679,3.211635782700915e-98,,1.362504900616806e-106,-0.7407013356995483,1.3804251744339523e-174,0.09560433943190251,0.24652863833731525,0.6184744864744864,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,250,100,,,,0.6243813346847097,3.4536768052100103e-109,,4.009520836674075e-105,,,0.09560433943190251,0.24652863833731525,0.615075867075867,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,250,100,,,,0.6244911685123978,3.0866017116005866e-109,,4.556672676411786e-105,-0.7995038990922834,3.726520466005609e-223,0.048067027175920735,0.17924179881356803,0.614946494946495,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,500,30,,,,0.5889502127684568,2.0831826517861212e-94,,1.483175907495611e-109,,,0.048067027175920735,0.17924179881356803,0.6252064452064452,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,500,30,,,,0.5890665850885702,1.875646051819486e-94,,1.3926974930692947e-109,-0.6995638617668811,7.829364545122087e-148,0.03833810582863919,0.15863870066991717,0.6252677892677893,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,500,50,,,,0.5984712938880755,3.370907244049716e-98,,4.742731914752109e-108,,,0.03833810582863919,0.15863870066991717,0.6218081618081618,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,500,50,,,,0.5985485222858392,3.136717269163954e-98,,4.769219532449285e-108,-0.7257767841691461,2.572798266508116e-164,0.06409887114823248,0.20489446070938636,0.6218026658026659,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,500,100,,,,0.6243302698055704,3.6388493342997605e-109,,4.686731668871882e-106,,,0.06409887114823248,0.20489446070938636,0.6172378012378014,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,500,100,,,,0.6243637772020062,3.5162600266167197e-109,,4.640544216476282e-106,-0.6562087912063377,3.4211175782818695e-124,0.0859963508437631,0.23490672673267474,0.6172477372477373,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,750,30,,,,0.5890783484112958,1.8558498132339124e-94,,7.769801189364288e-110,-0.20213009087251935,1.1139635293233331e-10,0.0859963508437631,0.23490672673267474,0.6258358938358939,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,750,30,,,,0.5891546134535535,1.732458515178442e-94,,6.965400132510233e-110,-0.5410303569797453,4.1303216059781416e-77,0.06409995818178911,0.21731026612769497,0.625942153942154,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,palantir,750,50,,,,0.5986846077816936,2.7628080886200728e-98,,2.063701454726337e-108,,,0.06409995818178911,0.21731026612769497,0.6226280866280867,True
